logFC,AveExpr,t,P.Value,adj.P.Val,B,Symbol
2.13262517841872,6.52171292601894,5.99283493215549,2.35134070340202e-05,0.000951041268866111,2.74394156073934,SLAMF6
2.13160398594978,6.65866662484684,6.59868591298737,7.99801273174928e-06,0.000447685844790023,3.81814657107543,RUNX2
2.12329750975222,5.56502539627694,5.24874245671981,9.46612386907111e-05,0.00235178622603869,1.47555508141271,CTSA
2.1231514486812,5.99874724545357,4.97264176652378,0.000161631648338818,0.00338827357554617,0.938111970949766,GPR155
2.11505464537703,4.82012621949618,7.28514962402505,2.50416122828478e-06,0.000215441210378968,5.0573214417207,GALNT6
2.10543364680179,6.87914517779467,7.03270503377107,3.80988963829525e-06,0.000278751099682611,4.56002315553309,ZBTB38
2.09766884705564,5.43221371059645,5.50005128767838,5.86567443332702e-05,0.00169488237702112,1.92227573555014,ABI3
2.08641869158531,5.78287620571456,7.6350839033957,1.41931536510241e-06,0.000148170120821948,5.58301152161567,GPD1L
2.08095575011558,7.40013412542082,5.30281815952762,8.5339109397229e-05,0.00218835819113473,1.34544542446791,ID2
2.07340276975497,4.11536975502454,4.54588640171385,0.000376048237453643,0.00628717965134759,0.171572861687315,LAG3
2.06984222020091,5.7625811660122,5.50925951195701,5.76460911185446e-05,0.00168398379732745,1.91181967118849,GAB3
2.05142685645832,5.93024375661946,6.63265419182716,7.54002867365841e-06,0.000436073693200082,3.95771447681112,C18orf1
2.05136802425364,6.17734940185764,7.83066565238296,1.0405455270049e-06,0.000123855978774091,5.88277173113267,ABCB1
2.04814916779039,4.09398849745765,5.50182675504297,5.84604568253531e-05,0.00169488237702112,2.00174494183946,SEMA7A
2.03533214532638,7.50089103726841,6.89461698845699,4.81034838574331e-06,0.000328669738955096,4.21493503849303,ERN1
2.03258664512508,8.05177090884709,4.46848103182439,0.000439189105888837,0.00687784319792219,-0.306673465749943,MT-CYB
2.03014220597223,4.72948504413187,4.81357670964124,0.000220896579154767,0.00415564688801953,0.742733611361666,TMEM165
2.02202315142295,6.000033278816,4.85365724300312,0.000204120224205003,0.00397038728788999,0.622200377090584,RGS2
1.97852416936282,6.83437155744002,7.75393224964165,1.17463140008329e-06,0.0001335447013022,5.72130283305682,ANKRD28
1.96505792495272,7.52847137128882,9.59963281332353,7.74057464536475e-08,2.66291076432114e-05,8.41075608624922,SYTL2
1.94356047118263,7.82553018890071,7.25288824917865,2.64087258471189e-06,0.000221694303821867,4.83116474744007,AMICA1
1.94145741843348,4.82377036508698,4.8988332340947,0.000186774535664707,0.00373315018026577,0.780526972316298,AC011357.1
1.93993705480811,7.7310228412725,7.73748306276739,1.20567003056532e-06,0.0001335447013022,5.63511097909906,IVNS1ABP
1.92482150023644,4.92257359189611,4.90014150696482,0.000186295459083683,0.00373293036731752,0.793354071767179,PYHIN1
1.90183441993084,4.8348248974515,4.33149154125965,0.00057882335452707,0.00831732658081691,-0.227027017583175,EVI2A
1.8997074081893,7.49152660966189,6.49558879645369,9.57479199395142e-06,0.000491447513265343,3.57071639698044,TBC1D2B
1.89955139074152,5.93545499017409,6.1403510620306,1.79996018621045e-05,0.000775928782974505,3.04504559949498,CD101
1.88051235361563,6.0366177944734,7.11747920494681,3.30596111588833e-06,0.000251506679753912,4.74564466806613,RBPJ
1.8694978028436,4.25686312963269,5.07846666308907,0.000131519106805464,0.00294624965385836,1.26459259975776,TMSL3
1.86803435669658,6.45543567579213,5.86030610939778,2.99696413556402e-05,0.00112210276906681,2.50389472918227,RASA1
1.86705548512275,4.71554140259106,5.72334367320371,3.86067553084468e-05,0.0013046138711223,2.35091466212332,CTNNA1
1.86527288501717,6.46099496612212,6.26770541440714,1.43257367514245e-05,0.000655443896102573,3.22420809552669,NPC1
1.85656016771955,5.26089277080287,5.16621426232571,0.000110967503596544,0.00260284070936012,1.33585641766971,ABCA5
1.83571264850894,6.46351016630983,8.71959033986725,2.69450507929189e-07,4.92117862228075e-05,7.20836079805964,SMURF2
1.82542352201164,5.2753920716634,5.5061967972833,5.79802212296291e-05,0.00168756300841712,1.96683387320116,NBN
1.82440052394423,9.39922325777144,9.20238167588287,1.34495239198128e-07,3.90917334223341e-05,7.79130421235974,PARP8
1.81681648368398,5.75236371248781,5.10792418174489,0.000124213852900971,0.00284765605192764,1.07756239620719,SLAMF7
1.81576947383084,6.03194062241491,5.91426005727304,2.71431443856751e-05,0.00104962957546204,2.6660640855717,KIAA1370
1.81442695545526,8.54724718575928,9.18578245071147,1.3768739239967e-07,3.90917334223341e-05,7.79677932973049,SLA
1.81383243994771,3.85764159566539,4.60109072874333,0.000336764810067416,0.00574015455795284,0.355991262163305,ZSWIM5
1.81296192551469,6.1368419606042,4.99262203199314,0.000155444930184141,0.00329700350590034,0.865211225606884,SOCS1
1.81282954665804,6.17294903729929,6.97886326155485,4.17122035450128e-06,0.00029438479935529,4.47482809277446,APOBEC3G
1.8104343371287,7.48322890229926,6.57433749444416,8.34412768927598e-06,0.000449626133684495,3.73945723996748,STAT4
1.79282638072685,6.92568079762271,5.04947441189645,0.000139142752110192,0.00305692409939058,0.955556333414337,AOAH
1.78771599961525,5.79416680526784,5.87061756924576,2.94066906171809e-05,0.00110621866826423,2.56659179232239,DENND1B
1.78102936910446,5.65552425284731,6.57877263611582,8.27993449762035e-06,0.000449626133684495,3.83933269192268,PLCH2
1.78013552784593,5.72004604947321,4.28883399011695,0.000630996972885094,0.00873645982423373,-0.499934460142182,NEU1
1.7786231698513,3.90336007084723,4.6968235442985,0.000278326945235309,0.00496567648378432,0.479103562945856,PVRL3
1.7771905102523,4.90584923861961,6.07943039010511,2.0092435823869e-05,0.000827289717107421,3.03195317093855,SCMH1
1.77257905629071,6.67828094669601,6.66883912333827,7.08220134150344e-06,0.000418374486655481,3.91731671349983,MDFIC
1.76008871095624,7.79793497213086,5.59702333848511,4.88735093969138e-05,0.00149910091323226,1.9126239257988,SCML4
1.75799999533085,7.9162972278166,8.78924784002634,2.43348581066847e-07,4.92117862228075e-05,7.24552956051029,PDE4DIP
1.75645992405423,5.15275340511572,4.86610940607833,0.000199179669534003,0.00392564940210316,0.717219737423291,KIF21A
1.75287774302069,7.89742352989942,4.65997226748506,0.000299479886320465,0.00527230042694417,0.132618254048882,RNU4-2
1.74847915425238,6.88380980861433,7.58868696173606,1.52888277935895e-06,0.000154339748928957,5.45686337640359,SEL1L3
1.73826191380885,7.76348585549722,7.45177216270733,1.90714217827361e-06,0.000176854172927117,5.14952593471251,KIF13B
1.71582442220392,3.91273597799619,4.54592315728221,0.000376020575445266,0.00628717965134759,0.219852030687694,JAKMIP2
1.71417161802553,5.37802247528857,4.91888592749615,0.000179568764215703,0.00366044463543171,0.781960360633483,FGFRL1
1.71055998909505,10.1169767616991,6.62000960845782,7.70722210814012e-06,0.000442194937499406,3.62382392503117,FOSB
1.7041451557442,7.65849234033622,7.23221147815537,2.73259082165671e-06,0.000227004289611586,4.80748881963338,CITED2
1.70193285399634,4.93967180866982,4.52085682815142,0.000395378123105247,0.00651475316480237,0.0598193702221046,PLEKHO2
1.70136196608915,5.43712289055175,5.76623865055502,3.56532924679928e-05,0.00124191963385792,2.39073938841071,PAM
1.6964605876541,4.60127252540141,4.53185331679469,0.000386763340166709,0.00643932701008247,0.137779359359515,ENPP4
1.68843285217399,5.32590778430829,4.83816025671968,0.000210445557061071,0.00404373636852344,0.715139357867535,CDC27
1.67488109884509,6.67200287171405,7.15488884367392,3.10628388550076e-06,0.00024527340581058,4.75823230765631,IFI16
1.66879588257413,4.71172010651198,6.23383005119335,1.52192908259341e-05,0.000678066169479466,3.28549754755161,SEPT8
1.64969855814488,7.9335957225458,4.45405332509787,0.000452109401768938,0.00700111160991705,-0.401872386342186,SRGN
1.64187466317302,5.68482437652443,4.35961388253854,0.000546856474598899,0.00800951405269162,-0.278896202612458,SAMD9L
1.63709016640865,5.43663849509858,5.62243307166543,4.66013805368665e-05,0.00145743533247651,2.15676145074888,DZIP3
1.63416940379189,4.96499152472568,4.29635311397057,0.000621463639059922,0.0086793221374044,-0.388595316752945,DYNC2H1
1.62094016894428,6.74691253284316,5.01982169787737,0.000147412924840223,0.00316878187493471,0.94036076230288,APBB1IP
1.60683585876998,4.97480679419066,4.47697295006826,0.000431761716643423,0.00683194382982401,-0.0621257639436488,TP53INP1
1.60654469090988,5.40487378237986,5.85060967296322,3.050924620742e-05,0.00113696840422511,2.59257323423689,GPR174
1.60368103102729,5.74111413912974,5.03857614924225,0.000142125182716357,0.00310533789633685,1.03639390843297,CAPRIN2
1.60070571813184,6.56415009100883,6.30292584677575,1.34545419433244e-05,0.000627485216362643,3.26740495658754,ODF2L
1.59891048320119,8.39006854158744,6.59194020873153,8.09237381593289e-06,0.000447685844790023,3.64517586950508,ARAP2
1.59382101502225,8.38781454375496,8.34919722159117,4.67651311287639e-07,6.90651705096096e-05,6.55997738335193,CBLB
1.59251854193593,6.53222531178672,6.88819798204379,4.86307576134185e-06,0.000328669738955096,4.30866516437917,NEDD9
1.59062481225731,6.71742261038638,5.0364844810372,0.000142705095547773,0.00310948944533741,0.919157243472863,STARD9
1.58869492770277,4.03585001359332,5.11788847270116,0.0001218387120347,0.00280963812600168,1.29635093699145,CORO1C
1.58605763830418,10.8100780328481,5.74942631908471,3.67818624606867e-05,0.00126985001352371,2.00811604034526,IL7R
1.58547068587531,5.2939214968168,4.51556709552165,0.000399591946536783,0.00652310387619233,0.0946526389448703,CA5B
1.58155960969895,4.37464685879645,4.80516694756806,0.000224593143660966,0.00421442428399107,0.707950167465672,SPOPL
1.5799313672882,6.64579277988691,7.13282871018642,3.22245114590925e-06,0.000251506679753912,4.70063560542939,CREB3L2
1.57557241461455,5.97329498783168,5.66748976709304,4.28381215519275e-05,0.00141171082387034,2.20931228449165,TANC2
1.57496207427999,5.31678923084283,4.21287453328492,0.000736089496124252,0.00970299790345605,-0.509983860048732,ZFP90
1.55949494515615,6.98608488825021,5.41963411188274,6.83034417212763e-05,0.00189103197255361,1.57278639797793,CHST11
1.55878331691656,6.7852185647955,6.4455494700449,1.0454124299542e-05,0.000517836281297188,3.52571424451386,UBL3
1.55766960133142,5.33567912411362,5.63591721081481,4.54404443661346e-05,0.00145090861485374,2.11890788260848,HNRPLL
1.55675569592744,5.14577218646045,4.46963424389745,0.000438172832397709,0.00687784319792219,-0.0707785971202499,GYG1
1.55465522637897,4.89350486505083,4.89664647332316,0.000187578141136499,0.00373983918890894,0.844233068943943,RRAGA
1.54724839995254,5.88348583586131,5.02080759373613,0.000147129963951321,0.00316878187493471,0.994067446647122,UGP2
1.54405776697979,7.55222596819666,7.5590954466568,1.60337456684163e-06,0.000159836402132025,5.35041896511881,ZFP36L1
1.5413642449024,7.84594618356323,7.85215662180749,1.00594933025426e-06,0.000121552210739057,5.80297939826342,MGAT5
1.53815463698124,7.51427513839238,6.88828424353095,4.86236318996071e-06,0.000328669738955096,4.22975875210686,TBCD
1.53711002646925,8.1636136817832,6.72153037738037,6.46685060765502e-06,0.00039368804271793,3.89833079994531,EMB
1.5351331744367,6.12137776593558,4.4595514279546,0.000447140476591563,0.00695116043044389,-0.119310994364221,RLF
1.52156184615956,7.5907890283346,7.5177709157801,1.71384047870684e-06,0.000164793365618809,5.29376988372727,SFMBT2
1.51766918839471,6.83350630448399,5.62875568526827,4.60532389569789e-05,0.00145167818451347,2.02893838690618,SLC38A2
1.51403748606691,8.42291959452149,5.07266939258925,0.000133008271153304,0.00297126320013332,0.797570041470777,ABCA2
1.5131171733287,8.17477971557752,5.88786228838613,2.84896734921158e-05,0.00108370137306118,2.39200341315034,TC2N
1.50446947965893,7.59916301230978,6.44654598434807,1.04358130720657e-05,0.000517836281297188,3.4388867796154,SYTL3
1.50407708203198,5.55915577083896,4.92645977587733,0.000176922237399533,0.00361783293143916,0.804818301687867,RAP1GDS1
1.5028137876995,4.80290025177776,4.61414523171504,0.000328106778787675,0.00563933526041316,0.289107249853947,SRP54
1.50225609059182,5.05021872333796,4.68935246578721,0.000282487796432881,0.00502866110837551,0.400293438408812,VPS26A
1.4969291647305,5.60709332041674,5.46177715391111,6.30585069705547e-05,0.00179323589823426,1.84073558824718,POC1B
1.49569048572709,6.24027296069936,5.99053670619477,2.36120590890896e-05,0.000951041268866111,2.76081954152901,TTC13
1.49264873758442,3.76226386396186,4.40578346043087,0.000498233755362107,0.00749700792266566,-0.0631002287500833,MCF2L2
1.48187058629495,5.88580293632441,5.38768822128569,7.25792754303954e-05,0.00196877456312042,1.6282388515217,SLFN11
1.48100753017312,4.83047351803585,4.83698488912274,0.000210933458220157,0.00404373636852344,0.726163252371011,WDR44
1.47986704507793,8.38402093988611,6.76729136073235,5.97782356922714e-06,0.000375379078461311,3.98505607839729,CD96
1.47551950118506,5.82916982126505,4.41915825046775,0.000484991054641404,0.00738130469611679,-0.266161605104019,ANTXR2
1.46715394056597,8.81736430274265,6.33767712952211,1.26490104193571e-05,0.000593387400555135,3.17686017969825,CD69
1.46488818419461,7.41386005215831,6.3645867341456,1.20599097816473e-05,0.000575914853345134,3.36380283849413,CLEC2D
1.46072619139606,6.93941260232401,6.96088393900535,4.29973129577646e-06,0.000300792605998397,4.40726711939967,TMEM181
1.45902510348575,7.74840508950622,6.18303578844337,1.66695784694085e-05,0.000730438946667762,2.96161602004534,PCNXL2
1.45571146181919,6.03166462656742,5.42766128644412,6.7270639614004e-05,0.00186927996836823,1.71784272893713,S100PBP
1.45348049946061,5.08035872314798,4.39920616219751,0.000504881146078369,0.0075542723076454,-0.18474280782462,C20orf194
1.44849723438256,4.93152103337797,4.81815371255587,0.000218911091703923,0.00415564688801953,0.703337572958518,SLC30A9
1.44403289985645,7.00774716738936,6.25693501614289,1.46037445350129e-05,0.000661732174242774,3.17715830374906,CAPZA1
1.44194516718802,4.71404192803186,4.6237376252489,0.000321890696740104,0.00554444558639811,0.289721545165777,ZNF600
1.43595331800861,9.91487548035781,5.79161692242499,3.4017420631176e-05,0.00120572857570502,2.12180479995291,CD8A
1.43563000465491,5.51093613010052,5.09172960330016,0.000128176592931603,0.00289577430206667,1.14090887073835,FAM160B1
1.43514107720306,5.07596703148337,5.19763223026685,0.000104441992423008,0.00247158720941688,1.37707555874741,GTDC1
1.42589405044019,8.53205187916164,4.7607115297195,0.000245218680790688,0.00450603451452935,0.180234410528033,AIM1
1.4235358099538,7.72077092308671,5.38886373734601,7.24171228194542e-05,0.00196877456312042,1.44891859544383,TMX4
1.42119751646567,4.63198910051322,4.1957738246704,0.000762113869772675,0.00999647715696889,-0.4996346001054,STAM2
1.41893118248005,5.22187286991651,4.24861401030956,0.000684584416788994,0.00922223095252066,-0.523451080058287,APOBEC3D
1.41883457705318,6.21143507287744,4.40272601103939,0.000501312585217563,0.00752912969323929,-0.351665680403623,VAV3
1.41767128663234,4.71520241299996,4.22807359220726,0.000713719584712774,0.00948652281347395,-0.473099174869137,DYX1C1
1.41602709424301,5.78397380697454,4.81347772671946,0.000220939721695333,0.00415564688801953,0.581834321835567,ZNF83
1.41529533605293,7.88127702288664,6.48856003577759,9.69349112308477e-06,0.000491447513265343,3.49693622660482,GRLF1
1.41158434045243,6.76925247748324,5.73484060658571,3.77910348052061e-05,0.00128796368620307,2.26803213638489,AE000661.28
1.4083324451697,6.43219706749223,5.24205339576746,9.58854686327433e-05,0.00236014386526583,1.34171180808335,MED14
1.40475163238965,6.44466155176069,5.88697090898361,2.85363370962819e-05,0.00108370137306118,2.57734643749138,ZNF827
1.39807790266646,6.77919223140318,6.46273775411754,1.01429336761617e-05,0.000508741484700565,3.55368040114286,SLC6A6
1.39134526506567,8.85998974856648,6.27059764499889,1.425202630174e-05,0.000655443896102573,3.05418640719591,PCNX
1.38827501880147,5.19572424863424,4.39401787403547,0.000510188651324767,0.0076080209621799,-0.206173511906091,C21orf91
1.38483127101445,7.51178359983271,6.34623589456271,1.24584529994152e-05,0.000591405730180572,3.29662253651661,MAPK1
