Symbol	BB_001	BB_004	BB_005	MP_001	MP_004	MP_005	SS_001	SS_003	SS_004	SS_005	SS_006	SS_007
PGLYRP2	25	0	3	9	0	0	10	2	0	0	2	1
PGM1	111	171	74	68	47	82	114	94	28	105	134	115
PGM2	127	89	102	138	27	86	103	113	57	120	139	144
PGM2L1	70	47	69	90	33	68	99	60	27	88	202	141
PGM3	141	0	102	146	38	90	121	134	12	94	126	189
PGM5	0	0	0	6	0	0	0	8	0	0	0	0
PGM5P2	0	0	0	0	0	0	0	0	0	0	1	0
PGP	150	17	131	78	97	133	98	149	11	175	167	132
PGPEP1	485	610	528	244	433	449	383	251	236	591	401	422
PGR	9	0	0	5	0	0	9	2	0	0	0	0
PGRMC1	71	71	50	38	10	24	51	55	0	46	66	65
PGRMC2	112	93	421	147	74	168	207	223	95	560	480	531
PGS1	244	2	206	122	251	210	220	330	51	273	286	303
PHACTR1	2	0	1	1	0	0	0	5	0	4	4	2
PHACTR2	76	818	174	42	328	56	131	917	364	307	1229	360
PHACTR4	256	141	207	209	148	269	279	260	31	254	283	359
PHAX	55	17	121	105	37	50	98	121	26	99	176	162
PHB	132	36	223	105	171	178	200	120	143	249	268	199
PHB2	335	196	590	204	328	339	280	333	159	671	779	681
PHBP10	1	0	0	0	0	0	1	0	0	0	1	0
PHBP13	0	0	13	0	0	4	0	0	0	4	0	9
PHBP3	0	0	0	0	0	2	0	0	0	0	0	0
PHBP7	0	0	3	2	0	0	0	0	0	0	0	2
PHBP9	0	0	0	0	0	0	0	0	0	0	0	1
PHC1	119	1	184	172	65	113	142	175	75	149	319	255
PHC1B	1	0	0	0	0	2	5	3	0	4	6	3
PHC2	281	245	311	175	190	175	329	311	113	424	440	356
PHC3	1683	815	1366	1443	350	1060	1421	1356	380	1017	1507	2012
PHEX	7	56	6	1	0	5	14	22	0	5	46	13
PHF1	761	855	683	708	716	881	638	803	326	1080	898	758
PHF10	354	70	425	384	58	493	324	407	106	360	568	832
PHF11	388	133	264	433	85	162	315	406	103	223	384	398
PHF12	911	616	677	516	670	590	633	684	361	956	1136	827
PHF13	74	53	49	16	26	41	54	54	39	75	77	69
PHF14	360	188	359	347	113	330	278	332	119	296	350	487
PHF15	1703	1691	1796	1181	1888	1764	1819	1856	654	2536	2375	2192
PHF16	9	0	1	0	0	0	4	6	0	0	2	2
PHF17	779	655	617	696	250	494	627	637	285	747	862	851
PHF19	399	567	230	316	255	400	318	478	153	378	604	501
